participant_id,session_start_time,session_end_time,session_duration_ms,record_created_at
fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:28:00.829+00,2025-11-20 16:28:10.12+00,9291.0,2025-11-20 16:28:02.231156+00
fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:27:27.603+00,2025-11-20 16:27:50.572+00,22969.0,2025-11-20 16:27:29.591439+00
fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:23:39.474+00,2025-11-20 16:26:48.525+00,189051.0,2025-11-20 16:23:41.070405+00
fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:23:08.415+00,2025-11-20 16:23:30.53+00,22115.0,2025-11-20 16:23:31.852449+00
fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:23:08.415+00,2025-11-20 16:23:29.747+00,21332.0,2025-11-20 16:23:09.530918+00
151939c4-8aae-490b-92eb-c7d353a4a95c,2025-11-18 18:23:28.407+00,2025-11-18 18:23:41.424+00,13017.0,2025-11-18 18:23:29.322114+00
151939c4-8aae-490b-92eb-c7d353a4a95c,2025-11-18 18:17:25.262+00,2025-11-18 18:22:39.976+00,314714.0,2025-11-18 18:17:26.103847+00
e2f70344-8588-468c-9dc2-8c2993f5b6c9,2025-11-15 23:30:13.982+00,2025-11-15 23:31:57.793+00,103811.0,2025-11-15 23:30:14.824905+00
88584cfe-a550-4209-a1f3-be628bb2647b,2025-11-13 16:30:35.581+00,2025-11-13 16:31:26.904+00,51323.0,2025-11-13 16:30:35.975861+00
25e47297-047a-4582-bc17-c13f5b2ef07b,2025-11-13 12:58:29.396+00,2025-11-13 13:01:29.111+00,179715.0,2025-11-13 13:01:29.459197+00
25e47297-047a-4582-bc17-c13f5b2ef07b,2025-11-13 12:58:29.396+00,2025-11-13 13:01:28.567+00,179171.0,2025-11-13 12:58:29.768223+00
f668df6c-a949-40d0-8ff9-840a65e676a2,2025-11-12 20:50:27.26+00,2025-11-12 20:51:45.728+00,78468.0,2025-11-12 20:51:46.6531+00
f668df6c-a949-40d0-8ff9-840a65e676a2,2025-11-12 20:50:27.26+00,2025-11-12 20:51:44.395+00,77135.0,2025-11-12 20:50:28.255139+00
76ca052a-413b-426f-bf8e-5bc80d00c05a,2025-11-12 20:13:37.197+00,2025-11-12 20:16:29.217+00,172020.0,2025-11-12 20:13:34.477818+00
eb2efe5b-53d6-4751-9ba5-2004d1234e28,2025-11-12 15:38:38.317+00,2025-11-12 15:39:36.089+00,57772.0,2025-11-12 15:38:39.194459+00
eb2efe5b-53d6-4751-9ba5-2004d1234e28,2025-11-12 15:36:49.579+00,2025-11-12 15:38:06.475+00,76896.0,2025-11-12 15:36:50.330493+00
b5a7af15-f889-4b20-b58c-192fe764f0b6,2025-11-11 18:50:55.24+00,2025-11-11 18:56:22.848+00,327608.0,2025-11-11 18:50:55.589384+00
d7c7e6ac-408e-462d-8c9a-5f27b58b5aa8,2025-11-11 16:03:27.023+00,2025-11-11 16:04:21.588+00,54565.0,2025-11-11 16:03:27.68541+00
d7c7e6ac-408e-462d-8c9a-5f27b58b5aa8,2025-11-11 16:00:42.583+00,2025-11-11 16:02:54.905+00,132322.0,2025-11-11 16:00:42.904414+00
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:17:24.366+00,2025-11-11 03:17:40.199+00,15833.0,2025-11-11 03:17:24.952477+00
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:17:01.57+00,2025-11-11 03:17:11.632+00,10062.0,2025-11-11 03:17:02.304372+00
